order_id,order_date,ship_date,ship_mode,customer_name,segment,region,state,product_name,category,sub_category,sales,quantity,discount,profit,year,month,profit_margin,discount_category,,,,,,,,,,
US-2014-156559,8/19/2014,8/26/2014,Standard Class,Lena Hernandez,Consumer,West,Ohio,"Hon Metal Bookcases, Gray",Furniture,Bookcases,638.82,9.00,0.00,172.48,2014,Aug,27.00%,No Discount,,,,,,,,,,
CA-2014-140487,6/14/2014,6/20/2014,Standard Class,Sharelle Roach,Home Office,West,Ohio,"Hon Metal Bookcases, Gray",Furniture,Bookcases,212.94,3.00,0.00,57.49,2014,Jun,27.00%,No Discount,,,,,,,,,,
US-2016-110170,9/27/2016,10/3/2016,Standard Class,Harry Marie,Corporate,West,Washington,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,956.66,7.00,0.32,-225.10,2016,Sep,-23.53%,Medium Discount,,,,,,,,,,
US-2016-131611,11/5/2016,11/9/2016,Standard Class,Emily Phan,Consumer,West,Texas,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,956.66,7.00,0.32,-225.10,2016,Nov,-23.53%,Medium Discount,,,,,,,,,,
CA-2017-168641,11/24/2017,12/1/2017,Standard Class,Kelly Andreada,Consumer,West,Washington,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,321.57,2.00,0.20,-16.08,2017,Nov,-5.00%,Low Discount,,,,,,,,,,
US-2015-164238,8/16/2015,8/20/2015,Standard Class,Joni Wasserman,Consumer,West,Washington,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,301.47,3.00,0.50,-205.00,2015,Aug,-68.00%,Medium Discount,,,,,,,,,,
CA-2017-137449,6/29/2017,6/30/2017,First Class,Max Engle,Consumer,West,Washington,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,410.00,3.00,0.32,-96.47,2017,Jun,-23.53%,Medium Discount,,,,,,,,,,
CA-2017-140963,6/10/2017,6/13/2017,First Class,Michelle Tran,Home Office,West,Texas,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,514.17,5.00,0.15,-30.25,2017,Jun,-5.88%,Low Discount,,,,,,,,,,
CA-2017-108070,4/16/2017,4/20/2017,Standard Class,Joel Eaton,Consumer,West,Texas,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,102.83,1.00,0.15,-6.05,2017,Apr,-5.88%,Low Discount,,,,,,,,,,
CA-2014-154599,4/12/2014,4/17/2014,Standard Class,Kean Nguyen,Corporate,West,Texas,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,308.50,3.00,0.15,-18.15,2014,Apr,-5.88%,Low Discount,,,,,,,,,,
CA-2016-156251,8/13/2016,8/18/2016,Second Class,Theresa Swint,Corporate,West,Wisconsin,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,241.96,2.00,0.00,24.20,2016,Aug,10.00%,No Discount,,,,,,,,,,
CA-2014-101931,10/28/2014,10/31/2014,First Class,Todd Sumrall,Corporate,West,New York,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,617.00,6.00,0.15,-36.29,2014,Oct,-5.88%,Low Discount,,,,,,,,,,
CA-2014-166744,9/20/2014,9/24/2014,Standard Class,Duane Noonan,Consumer,West,Washington,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,362.94,3.00,0.00,36.29,2014,Sep,10.00%,No Discount,,,,,,,,,,
CA-2014-131247,3/30/2014,4/4/2014,Standard Class,Guy Armstrong,Consumer,West,Texas,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,205.67,2.00,0.15,-12.10,2014,Mar,-5.88%,Low Discount,,,,,,,,,,
CA-2015-163965,11/20/2015,11/27/2015,Standard Class,Sung Shariari,Consumer,West,Washington,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,290.35,3.00,0.20,-36.29,2015,Nov,-12.50%,Low Discount,,,,,,,,,,
CA-2016-149762,12/3/2016,12/7/2016,Standard Class,Roger Demir,Consumer,West,Washington,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,205.67,2.00,0.15,-12.10,2016,Dec,-5.88%,Low Discount,,,,,,,,,,
CA-2016-152688,10/17/2016,10/20/2016,First Class,Nick Radford,Consumer,West,Texas,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,120.98,1.00,0.00,12.10,2016,Oct,10.00%,No Discount,,,,,,,,,,
CA-2015-100454,11/20/2015,11/25/2015,Standard Class,Brian Moss,Corporate,West,Wisconsin,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,186.05,4.00,0.20,9.30,2015,Nov,5.00%,Low Discount,,,,,,,,,,
CA-2017-134565,6/11/2017,6/13/2017,Second Class,Tom Boeckenhauer,Consumer,West,Washington,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,174.42,3.00,0.00,41.86,2017,Jun,24.00%,No Discount,,,,,,,,,,
US-2017-169551,7/7/2017,7/9/2017,First Class,Rob Lucas,Consumer,West,Pennsylvania,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,87.21,3.00,0.50,-45.35,2017,Jul,-52.00%,Medium Discount,,,,,,,,,,
CA-2017-141201,12/9/2017,12/11/2017,Second Class,Daniel Byrd,Home Office,West,Texas,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,148.26,3.00,0.15,15.70,2017,Dec,10.59%,Low Discount,,,,,,,,,,
CA-2015-137974,4/16/2015,4/18/2015,First Class,Lauren Leatherbury,Consumer,West,Washington,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,523.26,9.00,0.00,125.58,2015,Apr,24.00%,No Discount,,,,,,,,,,
CA-2016-157707,10/10/2016,10/12/2016,First Class,Corey Catlett,Corporate,West,Virginia,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Furniture,Bookcases,90.88,3.00,0.70,-190.85,2016,Oct,-210.00%,High Discount,,,,,,,,,,
CA-2014-144666,11/9/2014,11/11/2014,Second Class,Jeremy Pistek,Consumer,West,Wisconsin,"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,Bookcases,222.67,2.00,0.15,10.48,2014,Nov,4.71%,Low Discount,,,,,,,,,,
US-2017-133200,5/6/2017,5/11/2017,Standard Class,Dorothy Badders,Corporate,South,Texas,"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,Bookcases,623.46,7.00,0.32,-119.19,2017,May,-19.12%,Medium Discount,,,,,,,,,,
CA-2017-159149,2/17/2017,2/19/2017,First Class,Cyra Reiten,Home Office,South,Texas,"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,Bookcases,89.07,1.00,0.32,-17.03,2017,Feb,-19.12%,Medium Discount,,,,,,,,,,
CA-2014-166863,6/20/2014,6/24/2014,Standard Class,Sam Craven,Consumer,East,Texas,"Hon Metal Bookcases, Black",Furniture,Bookcases,193.07,4.00,0.32,-19.87,2014,Jun,-10.29%,Medium Discount,,,,,,,,,,
US-2016-106600,4/8/2016,4/11/2016,First Class,Raymond Messe,Consumer,West,Vermont,"Hon Metal Bookcases, Black",Furniture,Bookcases,354.90,5.00,0.00,88.73,2016,Apr,25.00%,No Discount,,,,,,,,,,
US-2017-167402,1/13/2017,1/18/2017,Second Class,Cathy Prescott,Corporate,West,Washington,"Hon Metal Bookcases, Black",Furniture,Bookcases,212.94,3.00,0.00,53.24,2017,Jan,25.00%,No Discount,,,,,,,,,,
CA-2015-137925,11/30/2015,12/4/2015,Standard Class,Janet Lee,Consumer,West,New York,"Hon Metal Bookcases, Black",Furniture,Bookcases,681.41,12.00,0.20,42.59,2015,Nov,6.25%,Low Discount,,,,,,,,,,
CA-2015-143364,7/14/2015,7/19/2015,Second Class,Toby Gnade,Consumer,West,Washington,"Hon Metal Bookcases, Black",Furniture,Bookcases,127.76,6.00,0.70,-191.65,2015,Jul,-150.01%,High Discount,,,,,,,,,,
CA-2017-131954,1/21/2017,1/25/2017,Standard Class,Darrin Sayre,Home Office,West,Washington,O'Sullivan Cherrywood Estates Traditional Bookcase,Furniture,Bookcases,84.98,1.00,0.00,18.70,2017,Jan,22.01%,No Discount,,,,,,,,,,
CA-2016-123533,11/24/2016,11/30/2016,Standard Class,Sample Company A,Home Office,West,Texas,O'Sullivan Cherrywood Estates Traditional Bookcase,Furniture,Bookcases,339.92,5.00,0.20,8.50,2016,Nov,2.50%,Low Discount,,,,,,,,,,
CA-2016-152156,11/8/2017,11/11/2017,Second Class,Claire Gute,Consumer,South,Texas,Bush Somerset Collection Bookcase,Furniture,Bookcases,261.96,2.00,0.00,41.91,2017,Nov,16.00%,No Discount,,,,,,,,,,
CA-2016-117681,4/9/2016,4/14/2016,Standard Class,Herbert Flentye,Consumer,West,Tennessee,Bush Somerset Collection Bookcase,Furniture,Bookcases,556.67,5.00,0.15,6.55,2016,Apr,1.18%,Low Discount,,,,,,,,,,
CA-2017-159793,8/25/2017,8/29/2017,Standard Class,Seth Vernon,Consumer,West,Texas,Bush Somerset Collection Bookcase,Furniture,Bookcases,130.98,2.00,0.50,-89.07,2017,Aug,-68.00%,Medium Discount,,,,,,,,,,
CA-2017-110198,5/1/2017,5/2/2017,First Class,Arthur Gainer,Consumer,West,Wisconsin,Bush Somerset Collection Bookcase,Furniture,Bookcases,314.35,3.00,0.20,-15.72,2017,May,-5.00%,Low Discount,,,,,,,,,,
CA-2016-102981,9/6/2016,9/9/2016,Second Class,Mary O'Rourke,Consumer,East,Texas,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,722.35,3.00,0.20,90.29,2016,Sep,12.50%,Low Discount,,,,,,,,,,
US-2017-132059,9/23/2017,9/29/2017,Standard Class,Arthur Prichep,Consumer,West,Washington,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,180.59,2.00,0.70,-240.78,2017,Sep,-133.33%,High Discount,,,,,,,,,,
CA-2016-147137,7/4/2016,7/6/2016,First Class,Anna Andreadi,Consumer,West,Pennsylvania,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,1279.17,5.00,0.15,225.74,2016,Jul,17.65%,Low Discount,,,,,,,,,,
CA-2017-115105,2/6/2017,2/11/2017,Standard Class,Bryan Davis,Consumer,West,Washington,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,240.78,1.00,0.20,30.10,2017,Feb,12.50%,Low Discount,,,,,,,,,,
CA-2015-133585,3/1/2015,3/4/2015,First Class,Craig Molinari,Corporate,West,Washington,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,1228.00,6.00,0.32,-36.12,2015,Mar,-2.94%,Medium Discount,,,,,,,,,,
CA-2017-142461,5/30/2017,6/3/2017,Second Class,Kean Thornton,Consumer,West,Texas,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,204.67,1.00,0.32,-6.02,2017,May,-2.94%,Medium Discount,,,,,,,,,,
CA-2015-130183,11/13/2015,11/17/2015,Standard Class,Patrick O'Brill,Consumer,West,Virginia,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,614.00,3.00,0.32,-18.06,2015,Nov,-2.94%,Medium Discount,,,,,,,,,,
CA-2017-144491,3/27/2017,4/1/2017,Standard Class,Caroline Jumper,Consumer,West,Texas,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,1023.33,5.00,0.32,-30.10,2017,Mar,-2.94%,Medium Discount,,,,,,,,,,
US-2017-121251,3/26/2017,3/27/2017,First Class,Gary McGarr,Consumer,West,Tennessee,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Furniture,Bookcases,257.57,2.00,0.20,-28.98,2017,Mar,-11.25%,Low Discount,,,,,,,,,,
CA-2016-123337,9/16/2016,9/22/2016,Standard Class,Keith Dawkins,Corporate,West,Virginia,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Furniture,Bookcases,273.67,2.00,0.15,-12.88,2016,Sep,-4.71%,Low Discount,,,,,,,,,,
CA-2015-162950,6/28/2015,7/3/2015,Second Class,Dorothy Wardle,Corporate,West,Washington,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Furniture,Bookcases,482.94,6.00,0.50,-376.69,2015,Jun,-78.00%,Medium Discount,,,,,,,,,,
CA-2017-117457,12/8/2017,12/12/2017,Standard Class,Keith Herrera,Consumer,West,Washington,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,1336.83,13.00,0.15,31.45,2017,Dec,2.35%,Low Discount,,,,,,,,,,
CA-2017-167381,9/22/2017,9/24/2017,Second Class,Erica Hernandez,Home Office,West,Tennessee,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,241.96,2.00,0.00,41.13,2017,Sep,17.00%,No Discount,,,,,,,,,,
CA-2014-146591,1/19/2014,1/20/2014,First Class,Toby Swindell,Consumer,West,Texas,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,181.47,5.00,0.70,-320.60,2014,Jan,-176.67%,High Discount,,,,,,,,,,
CA-2017-141117,10/2/2017,10/8/2017,Standard Class,Juliana Krohn,Consumer,West,Oregon,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,217.76,6.00,0.70,-384.72,2017,Oct,-176.67%,High Discount,,,,,,,,,,
CA-2017-143378,9/19/2017,9/25/2017,Standard Class,Justin Ritter,Corporate,West,Oregon,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,72.59,2.00,0.70,-128.24,2017,Sep,-176.66%,High Discount,,,,,,,,,,
US-2014-127978,3/3/2014,3/8/2014,Standard Class,Jill Stevenson,Corporate,West,Ohio,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,302.45,5.00,0.50,-199.62,2014,Mar,-66.00%,Medium Discount,,,,,,,,,,
US-2017-132031,4/23/2017,4/27/2017,Standard Class,Parhena Norris,Home Office,West,Tennessee,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,387.14,4.00,0.20,-14.52,2017,Apr,-3.75%,Low Discount,,,,,,,,,,
CA-2016-106383,3/19/2016,3/21/2016,Second Class,Bobby Trafton,Consumer,West,New York,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Furniture,Bookcases,72.29,1.00,0.70,-98.80,2016,Mar,-136.67%,High Discount,,,,,,,,,,
CA-2017-124674,11/17/2017,11/23/2017,Standard Class,Joy Bell-,Consumer,West,Washington,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Furniture,Bookcases,327.73,2.00,0.32,-14.46,2017,Nov,-4.41%,Medium Discount,,,,,,,,,,
CA-2017-140585,12/18/2017,12/23/2017,Second Class,Russell Applegate,Consumer,West,Texas,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",Furniture,Bookcases,119.83,1.00,0.15,-12.69,2017,Dec,-10.59%,Low Discount,,,,,,,,,,
CA-2015-164882,10/31/2015,10/31/2015,Same Day,Sandra Glassco,Consumer,West,Washington,"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,Bookcases,425.83,1.00,0.15,20.04,2015,Oct,4.71%,Low Discount,,,,,,,,,,
US-2016-135923,1/22/2016,1/28/2016,Standard Class,Carlos Meador,Consumer,West,North Carolina,"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,Bookcases,451.14,4.00,0.20,-67.67,2016,Jan,-15.00%,Low Discount,,,,,,,,,,
CA-2015-148635,7/25/2015,7/27/2015,Second Class,Michelle Huthwaite,Consumer,West,Washington,"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,Bookcases,704.90,5.00,0.00,56.39,2015,Jul,8.00%,No Discount,,,,,,,,,,
US-2017-133312,11/25/2017,11/29/2017,Standard Class,Bradley Drucker,Consumer,West,Wisconsin,"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,Bookcases,359.50,3.00,0.15,-29.61,2017,Nov,-8.24%,Low Discount,,,,,,,,,,
US-2015-126977,9/17/2015,9/23/2015,Standard Class,Peter Fuller,Consumer,West,Texas,"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,Bookcases,2003.92,5.00,0.20,-25.05,2015,Sep,-1.25%,Low Discount,,,,,,,,,,
CA-2014-128209,11/17/2014,11/22/2014,Standard Class,Greg Tran,Consumer,West,Washington,"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,Bookcases,4007.84,10.00,0.20,-50.10,2014,Nov,-1.25%,Low Discount,,,,,,,,,,
US-2015-145422,12/3/2015,12/7/2015,Standard Class,Pierre Wener,Consumer,West,Texas,"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,Bookcases,359.50,3.00,0.15,-29.61,2015,Dec,-8.24%,Low Discount,,,,,,,,,,
CA-2014-125997,9/20/2014,9/23/2014,First Class,Mitch Webber,Consumer,West,Washington,"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,Bookcases,801.57,2.00,0.20,-10.02,2014,Sep,-1.25%,Low Discount,,,,,,,,,,
CA-2017-116127,6/25/2017,6/27/2017,Second Class,Sarah Brown,Consumer,West,Washington,"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,Bookcases,400.78,1.00,0.20,-5.01,2017,Jun,-1.25%,Low Discount,,,,,,,,,,
CA-2016-107104,11/26/2016,11/30/2016,Standard Class,Maribeth Schnelling,Consumer,West,Wisconsin,"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,Bookcases,3406.66,8.00,0.15,160.31,2016,Nov,4.71%,Low Discount,,,,,,,,,,
CA-2016-138520,4/8/2016,4/13/2016,Standard Class,Jeremy Lonsdale,Consumer,West,Texas,Sauder Barrister Bookcases,Furniture,Bookcases,388.70,6.00,0.20,-4.86,2016,Apr,-1.25%,Low Discount,,,,,,,,,,
CA-2017-135692,4/27/2017,5/1/2017,Standard Class,Cynthia Voltz,Corporate,West,Texas,Sauder Barrister Bookcases,Furniture,Bookcases,220.27,4.00,0.32,-42.11,2017,Apr,-19.12%,Medium Discount,,,,,,,,,,
US-2015-165743,11/20/2015,11/23/2015,Second Class,Michelle Moray,Consumer,West,Washington,Sauder Barrister Bookcases,Furniture,Bookcases,145.76,6.00,0.70,-247.80,2015,Nov,-170.01%,High Discount,,,,,,,,,,
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,Steve Nguyen,Home Office,West,Washington,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,532.40,3.00,0.32,-46.98,2015,Dec,-8.82%,Medium Discount,,,,,,,,,,
CA-2015-102281,10/12/2015,10/14/2015,First Class,Mark Packer,Home Office,South,Texas,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,626.35,3.00,0.20,46.98,2015,Oct,7.50%,Low Discount,,,,,,,,,,
CA-2016-155516,10/21/2016,10/21/2016,Same Day,Michael Kennedy,Corporate,West,Wisconsin,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,1043.92,4.00,0.00,271.42,2016,Oct,26.00%,No Discount,,,,,,,,,,
CA-2017-121888,9/15/2017,9/17/2017,Second Class,Carl Ludwig,Consumer,West,Pennsylvania,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,782.94,3.00,0.00,203.56,2017,Sep,26.00%,No Discount,,,,,,,,,,
CA-2015-111514,8/31/2015,9/2/2015,First Class,Scott Cohen,Corporate,West,Washington,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,1552.83,7.00,0.15,200.95,2015,Aug,12.94%,Low Discount,,,,,,,,,,
US-2015-122784,7/20/2015,7/27/2015,Standard Class,Russell Applegate,Consumer,West,Texas,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,913.43,5.00,0.30,-52.20,2015,Jul,-5.71%,Medium Discount,,,,,,,,,,
CA-2014-155796,11/11/2014,11/15/2014,Second Class,Tom Stivers,Corporate,West,Washington,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,521.96,4.00,0.50,-250.54,2014,Nov,-48.00%,Medium Discount,,,,,,,,,,
US-2016-100461,1/8/2016,1/12/2016,Standard Class,Jack O'Briant,Corporate,West,Wisconsin,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,1565.88,6.00,0.00,407.13,2016,Jan,26.00%,No Discount,,,,,,,,,,
CA-2015-115511,11/21/2015,11/25/2015,Standard Class,Natalie Webber,Consumer,West,Pennsylvania,"Hon Metal Bookcases, Putty",Furniture,Bookcases,141.96,2.00,0.00,41.17,2015,Nov,29.00%,No Discount,,,,,,,,,,
CA-2015-156482,2/6/2015,2/13/2015,Standard Class,Ivan Liston,Consumer,West,Texas,"Hon Metal Bookcases, Putty",Furniture,Bookcases,283.92,4.00,0.00,82.34,2015,Feb,29.00%,No Discount,,,,,,,,,,
CA-2017-143574,6/29/2017,7/2/2017,First Class,Dan Reichenbach,Corporate,West,Oregon,"Hon Metal Bookcases, Putty",Furniture,Bookcases,638.82,9.00,0.00,185.26,2017,Jun,29.00%,No Discount,,,,,,,,,,
CA-2016-113425,11/21/2016,11/21/2016,Same Day,Julie Kriz,Home Office,West,Texas,"Hon Metal Bookcases, Putty",Furniture,Bookcases,113.57,2.00,0.20,12.78,2016,Nov,11.25%,Low Discount,,,,,,,,,,
CA-2017-166926,12/1/2017,12/8/2017,Standard Class,Sean O'Donnell,Consumer,West,Washington,"Hon Metal Bookcases, Putty",Furniture,Bookcases,141.96,2.00,0.00,41.17,2017,Dec,29.00%,No Discount,,,,,,,,,,
CA-2015-102281,10/12/2015,10/14/2015,First Class,Mark Packer,Home Office,South,Texas,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,899.14,4.00,0.20,112.39,2015,Oct,12.50%,Low Discount,,,,,,,,,,
US-2015-103471,12/24/2015,12/28/2015,Standard Class,Jim Radford,Consumer,West,Connecticut,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,590.06,7.00,0.70,-786.74,2015,Dec,-133.33%,High Discount,,,,,,,,,,
CA-2014-150245,12/31/2014,1/4/2015,Second Class,Pamela Coakley,Corporate,West,New York,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,1573.49,7.00,0.20,196.69,2014,Dec,12.50%,Low Discount,,,,,,,,,,
CA-2017-142342,7/17/2017,7/19/2017,Second Class,Anthony Johnson,Corporate,West,Washington,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,1194.17,5.00,0.15,210.74,2017,Jul,17.65%,Low Discount,,,,,,,,,,
CA-2015-113152,12/25/2015,12/30/2015,Standard Class,Jim Karlsson,Consumer,West,Washington,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,449.57,2.00,0.20,56.20,2015,Dec,12.50%,Low Discount,,,,,,,,,,
CA-2016-148747,9/25/2016,9/27/2016,First Class,Aaron Smayling,Corporate,West,Virginia,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,477.67,2.00,0.15,84.29,2016,Sep,17.65%,Low Discount,,,,,,,,,,
CA-2017-154907,3/31/2017,4/4/2017,Standard Class,David Smith,Corporate,West,Texas,Bush Mission Pointe Library,Furniture,Bookcases,205.33,2.00,0.32,-36.24,2017,Mar,-17.65%,Medium Discount,,,,,,,,,,
